country,Country,NY.GDP.MKTP.PP.KD,SP.POP.GROW,SP.POP.TOTL,SP.POP.TOTL.FE.IN,SP.POP.TOTL.FE.ZS,SP.POP.TOTL.MA.IN,SP.POP.TOTL.MA.ZS,SP.URB.GROW,SP.URB.TOTL,SP.URB.TOTL.IN.ZS,SL.TLF.TOTL.FE.ZS,SL.TLF.TOTL.IN,SL.UEM.TOTL.FE.NE.ZS,SL.UEM.TOTL.FE.ZS,SL.UEM.TOTL.MA.NE.ZS,SL.UEM.TOTL.MA.ZS,SL.UEM.TOTL.NE.ZS,SP.RUR.TOTL,SP.RUR.TOTL.ZG,SP.RUR.TOTL.ZS,FP.CPI.TOTL.ZG,GC.TAX.EXPT.CN,GC.TAX.EXPT.ZS,NE.EXP.GNFS.KD.ZG,NE.EXP.GNFS.KN,NE.EXP.GNFS.ZS,NV.AGR.TOTL.CD,NV.AGR.TOTL.CN,NV.IND.MANF.CD,SL.UEM.TOTL.ZS,GE.EST,NE.CON.GOVT.KN,NE.CON.GOVT.ZS,NE.CON.PRVT.CD,NE.CON.PRVT.CN,NV.IND.MANF.CN,NV.IND.TOTL.CD,NV.IND.TOTL.CN,NV.SRV.TOTL.CD,NV.SRV.TOTL.CN,BM.KLT.DINV.CD.WD,BX.KLT.DINV.WD.GD.ZS,EG.ELC.LOSS.ZS,EG.USE.ELEC.KH.PC,EN.GHG.CO2.IP.MT.CE.AR5,GC.DOD.TOTL.CN,GC.DOD.TOTL.GD.ZS,SE.PRM.NENR,SE.PRM.NENR.FE,SE.PRM.NENR.MA,EG.CFT.ACCS.ZS,SE.SEC.ENRR,SE.SEC.ENRR.FE,SE.SEC.ENRR.MA,SE.TER.ENRR,SE.TER.ENRR.FE,SE.TER.ENRR.MA,SP.DYN.LE00.FE.IN,SP.DYN.LE00.IN,SP.DYN.LE00.MA.IN,EG.CFT.ACCS.RU.ZS,EG.CFT.ACCS.UR.ZS,IT.NET.USER.FE.ZS,IT.NET.USER.MA.ZS,IT.NET.USER.ZS
ZWE,Zimbabwe,85266779554.5421,1.67709591394986,16340822.0,8559888.0,52.3834602690122,7780934.0,47.6165397309878,3.18079396042019,6420625.0,39.2919370795795,49.8432401695381,6232464.0,9.46,8.824,9.126,8.694,9.29,9920197.0,0.715777308024943,60.7080629204205,,,,-8.22022011732217,11564084400.0,17.1170760050918,4123414226.15412,7765791300.0,5480609201.23403,8.759,-1.17033493518829,8086099100.0,11.9689867430753,30155638987.5113,56793323700.0,10321851000.0,11929358312.1575,22467038700.0,17779293109.6904,33484455400.0,30500000.0,1.68432122793783,,,0.9636,,,,,,30.7,,,,,,,65.013,62.775,60.226,7.5,77.0,,,38.4266
ZMB,Zambia,76129157926.5195,2.79406758723844,20723965.0,10467717.0,50.5102040077755,10256248.0,49.4897959922245,3.75300456135683,9331708.0,45.0285853521585,46.1706187925228,7147630.0,6.037,6.207,5.71,5.646,5.861,11392257.0,2.01537010106656,54.9714146478415,10.884531691282,,,,,40.8461239686718,615021617.336775,12430828000.0,2344942276.42188,5.905,-0.658970057964325,,13.312782708599,12990626814.2053,262566783000.0,47396015500.0,9682007754.00061,195692915000.0,15668902511.3672,316700139600.0,153215005.572279,2.32465335614826,,,1.2905,,,,,,9.2,,,,,,,68.673,66.349,63.936,2.3,16.8,,,33.0
PSE,West Bank and Gaza,27694396392.5972,2.39326476511584,5165775.0,2598445.0,50.3011719658464,2567330.0,49.6988280341537,2.69485453501003,4486873.0,86.8576870415886,,,,,,,,678902.0,0.422602055870789,13.1423129584114,5.87110177678988,,,-6.01749793331496,2728500000.0,17.745505073426,1018000000.0,1018000000.0,1772200000.0,,-1.20955741405487,3037700000.0,20.2483205307067,17665700000.0,17665700000.0,1772200000.0,2780800000.0,2780800000.0,10447200000.0,10447200000.0,3159064.92255389,0.580098297204125,,,,,,,,,,89.1210984011759,92.1529721719084,86.1049683031107,44.4904623709098,54.7817476689496,33.9688584650983,71.502,65.17,59.691,,,86.2802,86.9849,86.6377
VNM,Viet Nam,1359364235987.88,0.671429250652247,100352192.0,51201223.0,51.0215292556838,49150969.0,48.9784707443162,2.20966454551038,38264181.0,38.1298904418945,48.6232443199751,56799003.0,1.509,1.511,1.77,1.772,1.645,62088011.0,-0.264917387762499,61.8701095581055,3.25289282667662,,,-1.21887033839245,5428320692635100.0,86.4674192371297,51462771462.6317,1224161370000000.0,104905366269.49,1.645,0.126466900110245,525478870000000.0,8.84756445434067,235637302406.739,5605179720000000.0,2495417429783400.0,163050527164.098,3878534930000000.0,183496756795.335,4364895920000000.0,-1550000000.0,4.26407109843686,,,50.1898,,,,,,98.7,,,,32.8415128147815,36.0774676873689,29.6371360595075,79.264,74.588,69.877,98.7,99.4,75.8894,80.32,78.08
VUT,Vanuatu,1030019594.1368,2.32481600892244,320409.0,158611.0,49.5026669038635,161798.0,50.4973330961365,2.37447860578213,71340.0,22.2651966823901,46.1269954007258,115453.0,,6.371,,3.978,,249069.0,2.31059586023381,77.7348033176099,11.1825017088175,1978365.0,0.00847101272958186,,,,,,,5.082,-0.568605482578278,,,,,,,,,,4399200.0,0.83061864668994,,,0.0011,96129000000.0,72.3247537863113,,,,20.6,134.670675170038,134.925790252936,134.4289613719,,,,73.927,71.477,69.445,9.0,52.3,,,45.7313
UZB,Uzbekistan,356797075898.787,2.02114614047908,35652307.0,17670093.0,49.5622709632788,17982214.0,50.4377290367212,2.04417407723884,18181423.0,50.9964841114568,35.4818519755215,13809189.0,,6.592,,3.288,,17470884.0,1.99718728938561,49.0035158885432,9.95659071258018,,,17.2766843331387,42267814919600.0,24.4247464665459,20700454544.6713,242916385800000.0,19875264458.59,4.46,-0.283767521381378,18497023465000.0,14.4844754028732,70256428197.8448,824447481585900.0,233232917600000.0,31844039256.9288,373684496100000.0,45114026458.8434,529405585400000.0,11727190.7390312,2.10084902446518,,,10.0494,,,,,,78.1,97.3839945834102,97.0191649872622,97.7275381724845,45.7591768686293,46.4659334224552,45.0879054640964,75.401,72.388,69.45,70.9,96.8,87.1292,90.9056,89.0136
URY,Uruguay,105231267359.7,-0.0835522251458198,3388081.0,1745071.0,51.5061770955299,1643010.0,48.4938229044701,-0.0351486687276967,3237107.0,95.5439605712891,46.7190843951169,1761109.0,9.462,9.435,7.429,7.408,8.355,150974.0,-1.11579924735438,4.45603942871089,5.86910359896119,,,0.83519900927071,563932506000.0,28.1403012343037,4750479757.10436,184432231800.0,7599706773.53344,8.355,0.850249707698822,304991550366.6,16.9963640196447,,,295050385000.0,13065184303.7888,507241631000.0,51203376714.9255,1987915647700.0,-8320989284.53838,-6.72904061401343,,,0.3938,1888439542000.0,62.3670975864135,,,,100.0,119.105005958635,125.241045093642,113.235141940602,79.9536903496537,101.562689083766,59.2103836562737,81.92,78.138,74.192,100.0,100.0,,,89.896
USA,United States,24977117771722.8,0.83149318773707,336806231.0,167569583.0,49.7525187498981,169236648.0,50.2474812501019,0.880290591487868,269686007.0,80.071561119178,45.5675714150187,172300802.0,3.454,3.45,3.8,3.795,3.638,67120224.0,0.635667133221232,19.928438880822,4.11633838374488,,,2.76432491173321,2530612507000.0,11.1844126402687,,,,3.638,1.21720099449158,,,,,,,,,,351085000000.0,1.32618252590589,5.48253479643862,12551.2256333524,157.4261,31925028000000.0,116.975041091042,,,,100.0,,,,,,,81.1,78.3853658536585,75.8,100.0,100.0,,,93.1444
GBR,United Kingdom,3602177989697.14,1.30497972307431,68492000.0,34773417.0,50.7700410474435,33718583.0,49.2299589525565,1.4069987819847,56958080.0,83.1601932891335,47.5395845608589,34950053.0,3.685,3.658,4.338,4.279,4.025,11533920.0,0.802698364719514,16.8398067108665,6.79396706793963,,,-2.34595735753932,736432137000.0,31.9122697629938,22172948816.6197,17839000000.0,281323871481.498,3.984,1.16114270687103,432353872000.0,20.2413809642158,2064938048482.15,1661323000000.0,226336000000.0,604502772866.626,486346000000.0,2477450106285.7,1993205000000.0,30207401209.3072,0.403116734836793,9.87245732671648,4207.95129358173,10.4816,3746863000000.0,136.142431919028,,,,100.0,112.403617858887,113.907653808594,110.97501373291,80.4987716674805,93.7253189086914,67.925537109375,83.208,81.2380975609756,79.362,100.0,100.0,,,96.2988
ARE,United Arab Emirates,736377153089.291,3.97717097504667,10483751.0,3772859.0,35.9876794773503,6710892.0,64.0123205226497,4.15631571160534,8981227.0,85.6680699002526,23.0509421153007,6793436.0,4.266,4.297,1.497,1.508,2.151,1502524.0,2.91298761379646,14.3319300997474,1.62670837213248,,,6.87975755487554,1811494000900.0,106.846139017261,3993192648.05991,14665000000.0,49432811436.3513,2.151,1.60428190231323,230738960300.0,12.2173883594796,234510006807.352,861238000000.0,181542000000.0,237274336283.186,871390000000.0,281354663036.079,1033275000000.0,22300884955.7522,5.87184069440898,,,19.111,,,,,,100.0,101.944972436447,102.195120776205,101.702743049076,61.3456114422447,70.1777672820254,54.3154380904539,84.204,82.909,81.978,100.0,100.0,100.0,100.0,100.0
